population,gdp,coal_consumption,oil_consumption,gas_consumption,fossil_fuel_consumption,solar_consumption,wind_consumption,hydro_consumption,renewables_consumption,electricity_generation,hydro_share_energy
,,,,,,,,,,368.65,
,,,,,,,,,,397.19,
,,,,,,,,,,422.82,
,,,,,,,,,,447.15,
,,,,,,,,,,484.94,
,,,,,,,,,,510.68,
,,,,,,,,,,534.67,
,,,,,,,,,,564.01,
,,,,,,,,,,590.18,
,,,,,,,,,,611.17,
,,,,,,,,,,672.26,
,,,,,,,,,,707.33,
,,,,,,,,,,761.3,
,,,,,,,,,,805.44,
,,,,,,,,,,849.73,
,,,,,,,,,,888.28,
,,,,,,,,,,959.65,
,,,,,,,,,,1005.47,
,,,,,,,,,,1064.06,
,,,,,,,,,,1117.11,
,,,,,,,,,,1104.82,
,,,,,,,,,,1154.08,
,,,,,,,,,,1225.2,
4707744.0,,,,,,,,,,,
4751177.0,,,,,,,,,,,
4802500.0,,,,,,,,,,,
4861833.0,,,,,,,,,,,
4921891.0,,,,,,,,,,,
4982681.0,,,,,,,,,,,
5044212.0,,,,,,,,,,,
5106495.0,,,,,,,,,,,
5169536.0,,,,,,,,,,,
5300178.0,,,,,,,,,,,
5504191.0,,,,,,,,,,,
5787792.0,,,,,,,,,,,
6157669.0,,,,,,,,,,,
6621025.0,,,,,,,,,,,
7119235.0,,,,,,,,,,,
7654918.0,,,,,,,,,,,
8230894.0,,,,,,,,,,,
8850190.0,,,,,,,,,,,
9529174.0,,,,,,,,,,,
9976355.0,,,,,,,,,,,
10188845.0,,,,,,,,,,,
10162753.0,,,,,,,,,,,
9893152.0,,,,,,,,,,,
9374030.0,,,,,,,,,,,
8882148.0,,,,,,,,,,,
8416077.0,,,,,,,,,,,
7974462.0,,,,,,,,,,,
7556019.0,,,,,,,,,,,
7159534.0,,,,,,,,,,,
6851115.0,,,,,,,,,,,
6626142.0,,,,,,,,,,,
6480237.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6409250.0,,,,,,,,,,,
6428903.0,,,,,,,,,,,
6468510.0,,,,,,,,,,,
6528377.0,,,,,,,,,,,
6608815.0,,,,,,,,,,,
6710138.0,,,,,,,,,,,
6813016.0,,,,,,,,,,,
6917471.0,,,,,,,,,,,
7023527.0,,,,,,,,,,,
7131209.0,,,,,,,,,,,
7240542.0,,,,,,,,,,,
7356890.0,,,,,,,,,,,
7480464.0,9421400064.0,,,,,,,,,,
7571542.0,9692279808.0,,,,,,,,,,
7667534.0,10017325056.0,,,,,,,,,,
